capture_time,OBJECTID,street,level,speedKMH,delay,length,uuid,updateDate,pubMillis,country,city,turnType,type,endNode,speed,roadType,SHAPE_Length
2026-05-11 17:20:20,15880,שריד,5,0,-1,33,696368000,1778530386394,1778461170362,IL,תל אביב - יפו,NONE,,החיטה,0,1,32.99566116509199
2026-05-11 17:20:20,15881,1 מערב,3,34.88,200,2951,700350908,1778530386413,1778517753646,IL,תל אביב - יפו,NONE,,תל אביב - יפו,9.688888549804688,3,2950.459503267181
2026-05-11 17:20:20,15882,יצחק אלחנן,3,8.32,113,392,700413880,1778530386428,1778519358524,IL,תל אביב - יפו,NONE,,השחר,2.3111112117767334,1,389.38759925201566
2026-05-11 17:20:20,15883,שביל המפעל,5,0,-1,87,666105790,1778530386439,1777794428827,IL,תל אביב - יפו,NONE,,,0,1,86.93544559014383
2026-05-11 17:20:20,15884,המכבים,4,2.87,533,466,700361136,1778530386446,1778518087825,IL,בני ברק,NONE,,דרך אם המושבות,0.7972221970558167,1,466.2069068828575
2026-05-11 17:20:20,15885,אלנבי,5,0,-1,133,643684936,1778530386458,1777192634708,IL,תל אביב - יפו,NONE,,מונטיפיורי,0,2,132.87960753972357
2026-05-11 17:20:20,15886,פינס,3,5.56,178,404,700381606,1778530386465,1778518935108,IL,תל אביב - יפו,NONE,,דרך יפו,1.5444444417953491,1,402.6384104895181
2026-05-11 17:20:20,15887,ביאליק,2,7.76,68,261,700422054,1778530386476,1778519531554,IL,תל אביב - יפו,NONE,,אידלסון,2.155555486679077,1,260.85213148373157
2026-05-11 17:20:20,15888,מנהרת הסיטי,5,0,-1,24,696368028,1778530386487,1778461170785,IL,גבעתיים,NONE,,אריאל שרון,0,1,23.823608255326832
2026-05-11 17:20:20,15889,המרד,4,5.96,183,372,700338592,1778530386496,1778517325401,IL,תל אביב - יפו,NONE,,,1.6555556058883667,1,370.44903650923254
2026-05-11 17:20:20,15890,דרך נמיר,3,17,230,1934,700396446,1778530386507,1778519104750,IL,תל אביב - יפו,NONE,,דרך בגין,4.722222328186035,2,1936.020761041638
2026-05-11 17:20:20,15891,,5,0,-1,13,646139560,1778530386525,1777255364403,IL,תל אביב - יפו,NONE,,שטרית,0,1,12.750098038838031
2026-05-11 17:20:20,15892,ליסין,5,0,-1,125,700385166,1778530386533,1778518937094,IL,תל אביב - יפו,NONE,,קליי,0,1,124.58063026131157
2026-05-11 17:20:20,15893,שריד,5,0,-1,23,696366000,1778530386545,1778461170491,IL,תל אביב - יפו,NONE,,נבטים,0,1,22.849299770669653
2026-05-11 17:20:20,15894,אלנבי,5,0,-1,20,643684458,1778530386558,1777192633106,IL,תל אביב - יפו,NONE,,רוטשילד,0,2,20.130002484754744
2026-05-11 17:20:20,15895,,5,0,-1,331,643685988,1778530386565,1777192633912,IL,בני ברק,NONE,,רח’ 600,0,2,330.78982632396867
2026-05-11 17:20:20,15896,דיזנגוף,4,3.07,199,260,700397442,1778530386572,1778519188466,IL,תל אביב - יפו,NONE,,"תרס""ט",0.8527777791023254,2,261.349656532749
2026-05-11 17:20:20,15897,שריד,5,0,-1,4,696366012,1778530386582,1778461170954,IL,תל אביב - יפו,NONE,,,0,1,4.320300916258285
2026-05-11 17:20:20,15898,רציף הרברט סמואל,2,15.08,82,864,700402686,1778530386589,1778519272798,IL,תל אביב - יפו,NONE,,,4.188889026641846,2,863.3841995887178
2026-05-11 17:20:20,15899,לסקוב חיים,5,0,-1,94,643685916,1778530386603,1777192633778,IL,תל אביב - יפו,NONE,,יהודה הלוי,0,1,94.02979400842023
2026-05-11 17:20:20,15900,הדף היומי,3,1.72,375,237,700409846,1778530386610,1778519442813,IL,תל אביב - יפו,NONE,,,0.47777777910232544,1,236.6487244695275
2026-05-11 17:20:20,15901,העליה,5,0,-1,91,643683860,1778530386617,1777192566644,IL,תל אביב - יפו,NONE,,י.ל. פרץ,0,2,90.56486289328049
2026-05-11 17:20:20,15902,אלנבי,5,0,-1,92,643684886,1778530386624,1777192634272,IL,תל אביב - יפו,NONE,,ביאליק,0,2,91.58055033669966
2026-05-11 17:20:20,15903,"לח""י",3,10.03,89,383,700414452,1778530386630,1778519441009,IL,תל אביב - יפו,NONE,,"אצ""ל",2.7861111164093018,2,382.3233635291204
2026-05-11 17:20:20,15904,אלנבי,5,0,-1,62,694108946,1778530386640,1778404183263,IL,תל אביב - יפו,NONE,,בית השואבה,0,2,62.44255119618467
